
Integration time [ms]: 1000.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1308032U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
449.578; 3212.167;  140.278; 1267.056
450.165; 3251.167;  155.278; 1277.056
450.751; 3150.167;  101.278; 1270.056
451.338; 3227.167;  178.278; 1411.056
451.925; 2970.167;  146.278; 1182.056
452.511; 2923.167;  167.278; 1281.056
453.098; 2807.167;  176.278; 1256.056
453.684; 3094.167;  209.278; 1658.056
454.271; 2741.167;  190.278; 1431.056
454.857; 2510.167;  178.278; 1274.056
455.443; 2357.167;  120.278; 1168.056
456.030; 2359.167;   93.278; 1199.056
456.616; 2042.167;  125.278; 1028.056
457.202; 2192.167;  156.278; 1147.056
457.789; 2122.167;  132.278; 1156.056
458.375; 2116.167;  161.278; 1161.056
458.961; 2097.167;  145.278; 1185.056
459.547; 2162.167;  167.278; 1239.056
460.133; 2005.167;  151.278; 1141.056
460.720; 2114.167;  163.278; 1263.056
461.306; 2119.167;  165.278; 1322.056
461.892; 2700.167;  247.278; 1908.056
462.478; 2132.167;  164.278; 1363.056
463.064; 2074.167;  196.278; 1324.056
463.650; 2106.167;  190.278; 1461.056
464.235; 2021.167;  163.278; 1318.056
464.821; 1923.167;  160.278; 1209.056
465.407; 1739.167;  123.278; 1085.056
465.993; 1754.167;  131.278; 1249.056
466.579; 1910.167;  174.278; 1342.056
467.164; 1732.167;  156.278; 1224.056
467.750; 1715.167;  175.278; 1236.056
468.336; 1565.167;  148.278; 1096.056
468.921; 1540.167;  146.278; 1098.056
469.507; 1834.167;  158.278; 1368.056
470.092; 2047.167;  201.278; 1605.056
470.678; 1491.167;  124.278; 1161.056
471.263; 1624.167;  145.278; 1211.056
471.849; 1663.167;  152.278; 1352.056
472.434; 1578.167;  162.278; 1213.056
473.020; 1435.167;   79.278; 1118.056
473.605; 1441.167;  155.278; 1128.056
474.190; 1519.167;  147.278; 1211.056
474.776; 1555.167;  169.278; 1195.056
475.361; 1536.167;  150.278; 1246.056
475.946; 1647.167;  176.278; 1364.056
476.531; 1488.167;  128.278; 1271.056
477.116; 1555.167;  162.278; 1255.056
477.701; 1563.167;  177.278; 1371.056
478.287; 1435.167;  144.278; 1146.056
478.872; 1485.167;  169.278; 1257.056
479.457; 1527.167;  199.278; 1273.056
480.042; 1365.167;  134.278; 1139.056
480.626; 1535.167;  205.278; 1255.056
481.211; 1593.167;  175.278; 1372.056
481.796; 1446.167;  155.278; 1216.056
482.381; 2167.167;  280.278; 1962.056
482.966; 1744.167;  216.278; 1467.056
483.551; 1485.167;  143.278; 1297.056
484.135; 1500.167;  182.278; 1273.056
484.720; 1278.167;  144.278; 1139.056
485.305; 1251.167;  167.278; 1126.056
485.889; 1625.167;  199.278; 1403.056
486.474; 1164.167;  146.278; 1058.056
487.058; 1291.167;   96.278; 1192.056
487.643; 1570.167;  211.278; 1371.056
488.227; 1315.167;  148.278; 1192.056
488.812; 1334.167;  102.278; 1157.056
489.396; 1477.167;  188.278; 1362.056
489.981; 2061.167;  217.278; 1835.056
490.565; 1318.167;  112.278; 1209.056
491.149; 1253.167;  173.278; 1091.056
491.733; 1356.167;  162.278; 1224.056
492.318; 1314.167;  135.278; 1120.056
492.902; 1240.167;  163.278; 1123.056
493.486; 1180.167;  133.278; 1040.056
494.070; 1228.167;   97.278; 1131.056
494.654; 1457.167;  176.278; 1289.056
495.238; 1254.167;  164.278; 1127.056
495.822; 1391.167;  186.278; 1241.056
496.406; 1425.167;  153.278; 1291.056
496.990; 1237.167;  135.278; 1117.056
497.574; 1372.167;  125.278; 1266.056
498.158; 1284.167;  129.278; 1145.056
498.742; 1271.167;  148.278; 1156.056
499.326; 1196.167;  143.278; 1071.056
499.909; 1314.167;  166.278; 1176.056
500.493; 1393.167;  133.278; 1238.056
501.077; 1409.167;  131.278; 1252.056
501.661; 1447.167;  159.278; 1247.056
502.244; 1405.167;  174.278; 1207.056
502.828; 1312.167;  168.278; 1169.056
503.411; 1366.167;  135.278; 1206.056
503.995; 1754.167;  228.278; 1607.056
504.578; 1547.167;  158.278; 1401.056
505.162; 1298.167;  162.278; 1127.056
505.745; 1415.167;  123.278; 1250.056
506.329; 1390.167;  174.278; 1222.056
506.912; 1632.167;  199.278; 1445.056
507.495; 1467.167;  154.278; 1276.056
508.079; 1544.167;  160.278; 1309.056
508.662; 1409.167;  162.278; 1280.056
509.245; 1366.167;  140.278; 1196.056
509.828; 1481.167;  170.278; 1272.056
510.411; 1265.167;  122.278; 1089.056
510.994; 1259.167;  125.278; 1120.056
511.578; 1704.167;  182.278; 1499.056
512.161; 1282.167;  139.278; 1035.056
512.744; 1568.167;  170.278; 1363.056
513.327; 1360.167;  148.278; 1148.056
513.909; 1539.167;  169.278; 1317.056
514.492; 1479.167;  148.278; 1257.056
515.075; 1466.167;  170.278; 1263.056
515.658; 1343.167;  150.278; 1143.056
516.241; 1483.167;  165.278; 1251.056
516.824; 1413.167;  123.278; 1174.056
517.406; 1497.167;  135.278; 1266.056
517.989; 1450.167;  168.278; 1219.056
518.572; 1603.167;  170.278; 1315.056
519.154; 1603.167;  217.278; 1421.056
519.737; 1468.167;  132.278; 1268.056
520.319; 1386.167;  164.278; 1196.056
520.902; 1648.167;  183.278; 1405.056
521.484; 1455.167;  180.278; 1199.056
522.067; 1551.167;  143.278; 1274.056
522.649; 1411.167;  155.278; 1163.056
523.231; 1494.167;  125.278; 1223.056
523.814; 1567.167;  212.278; 1366.056
524.396; 1647.167;  181.278; 1437.056
524.978; 1497.167;  172.278; 1264.056
525.560; 1365.167;  118.278; 1173.056
526.143; 1450.167;  175.278; 1249.056
526.725; 1543.167;  191.278; 1328.056
527.307; 1469.167;  175.278; 1276.056
527.889; 1444.167;  179.278; 1289.056
528.471; 1274.167;  146.278; 1048.056
529.053; 1490.167;  108.278; 1256.056
529.635; 1521.167;  180.278; 1247.056
530.217; 1592.167;  168.278; 1347.056
530.799; 1607.167;  188.278; 1398.056
531.381; 1496.167;  192.278; 1295.056
531.962; 1424.167;  159.278; 1205.056
532.544; 1572.167;  165.278; 1333.056
533.126; 1507.167;  171.278; 1277.056
533.708; 1497.167;  171.278; 1306.056
534.289; 1569.167;  177.278; 1377.056
534.871; 1475.167;  162.278; 1284.056
535.453; 1553.167;  185.278; 1368.056
536.034; 1483.167;  156.278; 1402.056
536.616; 1254.167;  162.278; 1110.056
537.197; 1426.167;  167.278; 1296.056
537.779; 1589.167;  164.278; 1409.056
538.360; 1524.167;  179.278; 1369.056
538.941; 1355.167;  151.278; 1198.056
539.523; 1332.167;  118.278; 1158.056
540.104; 1818.167;  228.278; 1555.056
540.685; 1308.167;  145.278; 1130.056
541.267; 1287.167;  156.278; 1162.056
541.848; 1453.167;  158.278; 1250.056
542.429; 1651.167;  174.278; 1456.056
543.010; 1348.167;  119.278; 1173.056
543.591; 1591.167;  189.278; 1376.056
544.172; 1611.167;  153.278; 1414.056
544.753; 1682.167;  190.278; 1484.056
545.334; 6049.167;  172.278; 6117.056
545.915; 1381.167;  150.278; 1216.056
546.496; 1527.167;  153.278; 1325.056
547.077; 1399.167;  197.278; 1218.056
547.658; 1494.167;  200.278; 1355.056
548.239; 1534.167;  183.278; 1392.056
548.819; 1684.167;  196.278; 1521.056
