
Integration time [ms]: 1000.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1308032U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
474.190; 3884.667;  147.278; 1211.056
474.776; 3708.667;  169.278; 1195.056
475.361; 3634.667;  150.278; 1246.056
475.946; 3718.667;  176.278; 1364.056
476.531; 3508.667;  128.278; 1271.056
477.116; 3379.667;  162.278; 1255.056
477.701; 3447.667;  177.278; 1371.056
478.287; 3162.667;  144.278; 1146.056
478.872; 3094.667;  169.278; 1257.056
479.457; 3145.667;  199.278; 1273.056
480.042; 2921.667;  134.278; 1139.056
480.626; 2971.667;  205.278; 1255.056
481.211; 3042.667;  175.278; 1372.056
481.796; 2880.667;  155.278; 1216.056
482.381; 3478.667;  280.278; 1962.056
482.966; 2986.667;  216.278; 1467.056
483.551; 2789.667;  143.278; 1297.056
484.135; 2692.667;  182.278; 1273.056
484.720; 2483.667;  144.278; 1139.056
485.305; 2488.667;  167.278; 1126.056
485.889; 2730.667;  199.278; 1403.056
486.474; 2314.667;  146.278; 1058.056
487.058; 2415.667;   96.278; 1192.056
487.643; 2619.667;  211.278; 1371.056
488.227; 2329.667;  148.278; 1192.056
488.812; 2288.667;  102.278; 1157.056
489.396; 2486.667;  188.278; 1362.056
489.981; 2979.667;  217.278; 1835.056
490.565; 2295.667;  112.278; 1209.056
491.149; 2124.667;  173.278; 1091.056
491.733; 2295.667;  162.278; 1224.056
492.318; 2168.667;  135.278; 1120.056
492.902; 2129.667;  163.278; 1123.056
493.486; 2067.667;  133.278; 1040.056
494.070; 2069.667;   97.278; 1131.056
494.654; 2243.667;  176.278; 1289.056
495.238; 2091.667;  164.278; 1127.056
495.822; 2166.667;  186.278; 1241.056
496.406; 2127.667;  153.278; 1291.056
496.990; 2048.667;  135.278; 1117.056
497.574; 2167.667;  125.278; 1266.056
498.158; 2043.667;  129.278; 1145.056
498.742; 2076.667;  148.278; 1156.056
499.326; 1903.667;  143.278; 1071.056
499.909; 2005.667;  166.278; 1176.056
500.493; 2139.667;  133.278; 1238.056
501.077; 2089.667;  131.278; 1252.056
501.661; 2133.667;  159.278; 1247.056
502.244; 2075.667;  174.278; 1207.056
502.828; 2036.667;  168.278; 1169.056
503.411; 2033.667;  135.278; 1206.056
503.995; 2444.667;  228.278; 1607.056
504.578; 2186.667;  158.278; 1401.056
505.162; 1941.667;  162.278; 1127.056
505.745; 2051.667;  123.278; 1250.056
506.329; 2034.667;  174.278; 1222.056
506.912; 2191.667;  199.278; 1445.056
507.495; 2112.667;  154.278; 1276.056
508.079; 2122.667;  160.278; 1309.056
508.662; 2073.667;  162.278; 1280.056
509.245; 1918.667;  140.278; 1196.056
509.828; 2065.667;  170.278; 1272.056
510.411; 1799.667;  122.278; 1089.056
510.994; 1862.667;  125.278; 1120.056
511.578; 2306.667;  182.278; 1499.056
512.161; 1874.667;  139.278; 1035.056
512.744; 2164.667;  170.278; 1363.056
513.327; 1909.667;  148.278; 1148.056
513.909; 2044.667;  169.278; 1317.056
514.492; 2006.667;  148.278; 1257.056
515.075; 2010.667;  170.278; 1263.056
515.658; 1951.667;  150.278; 1143.056
516.241; 2006.667;  165.278; 1251.056
516.824; 1925.667;  123.278; 1174.056
517.406; 1948.667;  135.278; 1266.056
517.989; 1946.667;  168.278; 1219.056
518.572; 2105.667;  170.278; 1315.056
519.154; 2186.667;  217.278; 1421.056
519.737; 2032.667;  132.278; 1268.056
520.319; 1893.667;  164.278; 1196.056
520.902; 2086.667;  183.278; 1405.056
521.484; 1920.667;  180.278; 1199.056
522.067; 2028.667;  143.278; 1274.056
522.649; 1981.667;  155.278; 1163.056
523.231; 1948.667;  125.278; 1223.056
523.814; 2110.667;  212.278; 1366.056
524.396; 2121.667;  181.278; 1437.056
524.978; 2059.667;  172.278; 1264.056
525.560; 1952.667;  118.278; 1173.056
526.143; 2021.667;  175.278; 1249.056
526.725; 2060.667;  191.278; 1328.056
527.307; 2052.667;  175.278; 1276.056
527.889; 2025.667;  179.278; 1289.056
528.471; 1841.667;  146.278; 1048.056
529.053; 2026.667;  108.278; 1256.056
529.635; 2025.667;  180.278; 1247.056
530.217; 2121.667;  168.278; 1347.056
530.799; 2186.667;  188.278; 1398.056
531.381; 2050.667;  192.278; 1295.056
531.962; 1944.667;  159.278; 1205.056
532.544; 2148.667;  165.278; 1333.056
533.126; 2070.667;  171.278; 1277.056
533.708; 2054.667;  171.278; 1306.056
534.289; 2194.667;  177.278; 1377.056
534.871; 2075.667;  162.278; 1284.056
535.453; 2145.667;  185.278; 1368.056
536.034; 2158.667;  156.278; 1402.056
536.616; 1928.667;  162.278; 1110.056
537.197; 2030.667;  167.278; 1296.056
537.779; 2173.667;  164.278; 1409.056
538.360; 2128.667;  179.278; 1369.056
538.941; 1986.667;  151.278; 1198.056
539.523; 1973.667;  118.278; 1158.056
540.104; 2398.667;  228.278; 1555.056
540.685; 1962.667;  145.278; 1130.056
541.267; 1939.667;  156.278; 1162.056
541.848; 2052.667;  158.278; 1250.056
542.429; 2322.667;  174.278; 1456.056
543.010; 2026.667;  119.278; 1173.056
543.591; 2214.667;  189.278; 1376.056
544.172; 2237.667;  153.278; 1414.056
544.753; 2323.667;  190.278; 1484.056
545.334; 7100.667;  172.278; 6117.056
545.915; 2054.667;  150.278; 1216.056
546.496; 2144.667;  153.278; 1325.056
547.077; 2076.667;  197.278; 1218.056
547.658; 2179.667;  200.278; 1355.056
548.239; 2261.667;  183.278; 1392.056
548.819; 2354.667;  196.278; 1521.056
